Food,Disease,Clinical Trial,Food.or.Diet.Related,title,author,journal,number,cites,year,pubid,
,,,,Cellular efflux of auxin catalyzed by the Arabidopsis MDR/PGP transporter AtPGP1,"M Geisler, JJ Blakeslee, R Bouchard, OR Lee, V Vincenzetti, ...",The Plant Journal,"44 (2), 179-194",576,2005,1.11439E+19,dhFuZR0502QC
phytochemicals,"chronic disease, cancer",,yes,"Digestion, absorption, and cancer preventative activity of dietary chlorophyll derivatives","MG Ferruzzi, J Blakeslee",Nutrition research,"27 (1), 1-12",472,2007,2.71689E+18,zYLM7Y9cAGgC
,,,,Arabidopsis H+-PPase AVP1 regulates auxin-mediated organ development,"J Li, H Yang, WA Peer, G Richter, J Blakeslee, A Bandyopadhyay, ...",Science,"310 (5745), 121-125",467,2005,1.69357E+19,j3f4tGmQtD8C
,,,,Interactions among PIN-FORMED and P-glycoprotein auxin transporters in Arabidopsis,"JJ Blakeslee, A Bandyopadhyay, OR Lee, J Mravec, B Titapiwatanakun, ...",The Plant Cell,"19 (1), 131-147",462,2007,1.15974E+19,ZeXyd9-uunAC
,,,,Loss of an MDR transporter in compact stalks of maize br2 and sorghum dw3 mutants,"DS Multani, SP Briggs, MA Chamberlin, JJ Blakeslee, AS Murphy, ...",Science,"302 (5642), 81-84",453,2003,1.30868E+19,#NAME?
,,,,Variation in expression and protein localization of the PIN family of auxin efflux facilitator proteins in flavonoid mutants with altered auxin transport in Arabidopsis thaliana,"WA Peer, A Bandyopadhyay, JJ Blakeslee, SN Makam, RJ Chen, ...",The Plant Cell,"16 (7), 1898-1911",396,2004,1.72135E+19,r0BpntZqJG4C
,,,,"PGP4, an ATP binding cassette P-glycoprotein, catalyzes auxin transport in Arabidopsis thaliana roots","K Terasaka, JJ Blakeslee, B Titapiwatanakun, WA Peer, ...",The Plant Cell,"17 (11), 2922-2939",390,2005,1.50508E+19,HDshCWvjkbEC
,,,,Auxin transport,"JJ Blakeslee, WA Peer, AS Murphy",Current opinion in plant biology,"8 (5), 494-500",381,2005,1.61808E+19,_Qo2XoVZTnwC
,,,,"TWISTED DWARF1, a Unique Plasma Membrane-anchored Immunophilin-like Protein, Interacts with Arabidopsis Multidrug Resistance-like Transporters AtPGP1 …","M Geisler, HU Kolukisaoglu, R Bouchard, K Billion, J Berger, B Saal, ...",Molecular biology of the cell,"14 (10), 4238-4249",281,2003,6.84853E+18,MXK_kJrjxJIC
,,,,ABCB19/PGP19 stabilises PIN1 in membrane microdomains in Arabidopsis,"B Titapiwatanakun, JJ Blakeslee, A Bandyopadhyay, H Yang, J Mravec, ...",The Plant Journal,"57 (1), 27-44",262,2009,2.21361E+18,IjCSPb-OGe4C
,,,,Differential effects of sucrose and auxin on localized phosphate deficiency-induced modulation of different traits of root system architecture in Arabidopsis,"A Jain, MD Poling, AS Karthikeyan, JJ Blakeslee, WA Peer, ...",Plant Physiology,"144 (1), 232-247",262,2007,1.72153E+19,iH-uZ7U-co4C
,,,,Seven things we think we know about auxin transport,"WA Peer, JJ Blakeslee, H Yang, AS Murphy",Molecular plant,"4 (3), 487-504",259,2011,7.69519E+18,Zph67rFs4hoC
,,,,The VTI family of SNARE proteins is necessary for plant viability and mediates different protein transport pathways,"M Surpin, H Zheng, MT Morita, C Saito, E Avila, JJ Blakeslee, ...",The Plant Cell,"15 (12), 2885-2899",214,2003,1.1492E+19,L8Ckcad2t8MC
,,,,Immunophilin-like TWISTED DWARF1 modulates auxin efflux activities of Arabidopsis P-glycoproteins,"R Bouchard, A Bailly, JJ Blakeslee, SC Oehring, V Vincenzetti, OR Lee, ...",Journal of Biological Chemistry,"281 (41), 30603-30612",212,2006,3.21795E+18,Y0pCki6q_DkC
,,,,Relocalization of the PIN1 auxin efflux facilitator plays a role in phototropic responses,"JJ Blakeslee, A Bandyopadhyay, WA Peer, SN Makam, AS Murphy",Plant Physiology,"134 (1), 28-31",174,2004,1.39869E+19,mB3voiENLucC
,,,,Arabidopsis PIS1 encodes the ABCG37 transporter of auxinic compounds including the auxin precursor indole-3-butyric acid,"K Růžička, LC Strader, A Bailly, H Yang, J Blakeslee, Ł Łangowski, ...",Proceedings of the National Academy of Sciences,"107 (23), 10749-10753",173,2010,1.79164E+19,k_IJM867U9cC
,,,,Reduction of benzenoid synthesis in petunia flowers reveals multiple pathways to benzoic acid and enhancement in auxin transport,"I Orlova, A Marshall-Colón, J Schnepp, B Wood, M Varbanova, E Fridman, ...",The Plant Cell,"18 (12), 3458-3475",170,2006,9.96145E+18,mVmsd5A6BfQC
,,,,"yucca6, a dominant mutation in Arabidopsis, affects auxin accumulation and auxin-related phenotypes","J Im Kim, A Sharkhuu, JB Jin, P Li, JC Jeong, D Baek, SY Lee, ...",Plant Physiology,"145 (3), 722-735",159,2007,4.08005E+17,u-x6o8ySG0sC
,,,,Arabidopsis P-glycoprotein19 participates in the inhibition of gravitropism by gravacin,"M Rojas-Pierce, B Titapiwatanakun, EJ Sohn, F Fang, CK Larive, ...",Chemistry & biology,"14 (12), 1366-1376",146,2007,1.8123E+19,M3NEmzRMIkIC
,,,,The Arabidopsis concentration‐dependent influx/efflux transporter ABCB4 regulates cellular auxin levels in the root epidermis,"M Kubeš, H Yang, GL Richter, Y Cheng, E Młodzińska, X Wang, ...",The Plant Journal,"69 (4), 640-654",143,2012,8.84386E+18,aqlVkmm33-oC
,,,,Interactions of PIN and PGP auxin transport mechanisms,"A Bandyopadhyay, JJ Blakeslee, OR Lee, J Mravec, M Sauer, ...",Biochemical Society Transactions,"35 (1), 137-141",132,2007,2.16365E+18,UeHWp8X0CEIC
,,,,Non‐invasive quantification of endogenous root auxin transport using an integrated flux microsensor technique,"ES McLamore, A Diggs, P Calvo Marzal, J Shi, JJ Blakeslee, WA Peer, ...",The Plant Journal,"63 (6), 1004-1016",110,2010,4.40801E+18,WF5omc3nYNoC
,,,,Brachytic2/ZmABCB1 functions in IAA export from intercalary meristems,"AS Knöller, JJ Blakeslee, EL Richards, WA Peer, AS Murphy",Journal of experimental botany,"61 (13), 3689-3696",93,2010,7.01147E+18,kNdYIx-mwKoC
,,,,DAO1 catalyzes temporal and tissue-specific oxidative inactivation of auxin in Arabidopsis thaliana,"J Zhang, JE Lin, C Harris, FCM Pereira, F Wu, JJ Blakeslee, WA Peer",Proceedings of the National Academy of Sciences,"113 (39), 11010-11015",85,2016,1.73496E+19,bEWYMUwI8FkC
,,,,Specificity of RCN1-mediated protein phosphatase 2A regulation in meristem organization and stress response in roots,"JJ Blakeslee, HW Zhou, JT Heath, KR Skottke, JAR Barrios, SY Liu, ...",Plant physiology,"146 (2), 539-553",85,2008,1.81663E+19,JV2RwH3_ST0C
,,,,Mutation of the membrane-associated M1 protease APM1 results in distinct embryonic and seedling developmental defects in Arabidopsis,"WA Peer, FN Hosein, A Bandyopadhyay, SN Makam, MS Otegui, GJ Lee, ...",The Plant Cell,"21 (6), 1693-1721",49,2009,1.80709E+19,maZDTaKrznsC
,,,,A possible role for NDPK2 in the regulation of auxin-mediated responses for plant growth and development,"G Choi, JI Kim, SW Hong, B Shin, G Choi, JJ Blakeslee, AS Murphy, ...",Plant and cell physiology,"46 (8), 1246-1254",44,2005,3.9598E+18,eQOLeE2rZwMC
,,,,"Nonanthocyanin Secondary Metabolites of Black Raspberry (Rubus occidentalis L.) Fruits: Identification by HPLC-DAD, NMR, HPLC-ESI-MS, and ESI-MS/MS …","L Paudel, FJ Wyzgoski, JC Scheerens, AM Chanon, RN Reese, ...",Journal of agricultural and food chemistry,"61 (49), 12032-12043",38,2013,1.04378E+19,QIV2ME_5wuYC
,,,,"cis-Cinnamic acid is a novel, natural auxin efflux inhibitor that promotes lateral root formation","W Steenackers, P Klíma, M Quareshy, I Cesarino, RP Kumpf, S Corneillie, ...",Plant Physiology,"173 (1), 552-565",32,2017,1.7695E+18,2osOgNQ5qMEC
,,,,Perturbation of maize phenylpropanoid metabolism by an AvrE family type III effector from Pantoea stewartii,"JAE Asselin, J Lin, AL Perez-Quintero, I Gentzel, D Majerczak, SO Opiyo, ...",Plant Physiology,"167 (3), 1117-1135",31,2015,4.74615E+18,ufrVoPGSRksC
,,,,MDR/PGP auxin transport proteins and endocytic cycling,"JJ Blakeslee, WA Peer, AS Murphy",Plant Endocytosis,159-176,26,2005,1.55748E+19,R3hNpaxXUhUC
,,,,"The control of tomato fruit elongation orchestrated by sun, ovate and fs8. 1 in a wild relative of tomato","S Wu, JP Clevenger, L Sun, S Visa, Y Kamiya, Y Jikumaru, J Blakeslee, ...",Plant Science,"238, 95-104",25,2015,1.63246E+18,9yKSN-GCB0IC
,,,,Rapid and hormone-free Agrobacterium rhizogenes-mediated transformation in rubber producing dandelions Taraxacum kok-saghyz and T. brevicorniculatum,"Y Zhang, BJ Iaffaldano, W Xie, JJ Blakeslee, K Cornish",Industrial Crops and Products,"66, 110-118",22,2015,3.55032E+18,YsMSGLbcyi4C
,,,,The major leaf ferredoxin Fd2 regulates plant innate immunity in Arabidopsis,"M Wang, L Rui, H Yan, H Shi, W Zhao, JE Lin, K Zhang, JJ Blakeslee, ...",Molecular plant pathology,"19 (6), 1377-1390",20,2018,1.44644E+18,d1gkVwhDpl0C
,,,,"Generation of an Attenuated, Cross-Protective Pepino mosaic virus Variant Through Alignment-Guided Mutagenesis of the Viral Capsid Protein","GM Chewachong, SA Miller, JJ Blakeslee, DM Francis, TJ Morris, F Qu",Phytopathology,"105 (1), 126-134",20,2015,2.81853E+18,Tyk-4Ss8FVUC
,,,,Auxin biosynthesis: spatial regulation and adaptation to stress,"JJ Blakeslee, T Spatola Rossi, V Kriechbaumer",Journal of experimental botany,"70 (19), 5041-5049",19,2019,2.1449E+18,qjMakFHDy7sC
,,,,"‘Bending’models of halotropism: incorporating protein phosphatase 2A, ABCB transporters, and auxin metabolism","EH Han, DP Petrella, JJ Blakeslee",Journal of experimental botany,"68 (12), 3071-3089",18,2017,8.84935E+18,4DMP91E08xMC
,,,,"Candidate gene selection and detailed morphological evaluations of fs8.1, a quantitative trait locus controlling tomato fruit shape","L Sun, GR Rodriguez, JP Clevenger, E Illa-Berenguer, J Lin, JJ Blakeslee, ...",Journal of experimental botany,"66 (20), 6471-6482",17,2015,7.98698E+18,4TOpqqG69KYC
,,,,The Ohio State University,J Blakeslee,United States,,14,NA,6.70322E+18,8k81kl-MbHgC
,,,,Arabidopsis phospholipase Dα1 and Dδ oppositely modulate EDS1-and SA-independent basal resistance against adapted powdery mildew,"Q Zhang, R Berkey, JJ Blakeslee, J Lin, X Ma, H King, A Liddle, L Guo, ...",Journal of experimental botany,"69 (15), 3675-3688",13,2018,9.38675E+18,Wp0gIr-vW9MC
,,,,Quantification of carbohydrates in grape tissues using capillary zone electrophoresis,"L Zhao, AM Chanon, N Chattopadhyay, IE Dami, JJ Blakeslee",Frontiers in plant science,"7, 818",13,2016,1.51587E+19,TQgYirikUcIC
,,,,Anthocyanin production using rough bluegrass treated with high-intensity light,"DP Petrella, JD Metzger, JJ Blakeslee, EJ Nangle, DS Gardner",HortScience,"51 (9), 1111-1120",12,2016,7.3191E+18,KlAtU1dfN6UC
,,,,Rubber biosynthesis in plants,"K Cornish, JJ Blakeslee","American Oil Chemist Society, The Lipid Library",,11,2011,5.35603E+18,roLk4NBRz8UC
,,,,Microscopic and biochemical visualization of auxins in plant tissues,"JJ Blakeslee, AS Murphy",Environmental Responses in Plants,37-53,10,2016,1.78442E+19,isC4tDSrTZIC
,,,,Cultural conditions contributing to vine decline syndrome in watermelon,"SN Makam, WA Peer, JJ Blakeslee, AS Murphy",HortScience,"40 (3), 597-601",9,2005,6.065E+18,UebtZRa9Y70C
,,,,Effects of blue light and phenotype on anthocyanin accumulation in accessions and cultivars of rough bluegrass,"DP Petrella, JD Metzger, JJ Blakeslee, EJ Nangle, DS Gardner",Crop Science,"57 (S1), S-209-S-217",6,2017,7.77847E+18,YOwf2qJgpHMC
,,,,A PP2A active site mutant impedes growth and causes misregulation of native catalytic subunit expression,"DL Lizotte, JJ Blakeslee, A Siryaporn, JT Heath, A DeLong",Journal of cellular biochemistry,"103 (4), 1309-1325",6,2008,1.14866E+19,7PzlFSSx8tAC
,,,,"Exogenous abscisic acid enhances physiological, metabolic, and transcriptional cold acclimation responses in greenhouse-grown grapevines","H Wang, JJ Blakeslee, ML Jones, LJ Chapin, IE Dami",Plant Science,"293, 110437",4,2020,4.86563E+18,_FxGoFyzp5QC
soy,,,yes,Auxin Profiling and GmPIN Expression in Phytophthora sojae−Soybean Root Interactions,"AK Stasko, A Batnini, C Bolanos-Carriel, JE Lin, Y Lin, JJ Blakeslee, ...",Phytopathology®,"110 (12), 1988-2002",3,2020,1.68391E+19,NMxIlDl6LWMC
,,,,Jasmonic acid-Isoleucine (JA-Ile) is involved in the host-plant resistance mechanism against the soybean aphid (Hemiptera: Aphididae),"AD Yates-Stewart, A Pekarcik, A Michel, JJ Blakeslee",Journal of Economic Entomology,"113 (6), 2972-2978",3,2020,1.34217E+18,GnPB-g6toBAC
,,,,Seasonal nitrogen remobilization and the role of auxin transport in poplar trees,"G Li, R Lin, C Egekwu, J Blakeslee, J Lin, E Pettengill, AS Murphy, ...",Journal of experimental botany,"71 (15), 4512-4530",3,2020,1.8063E+19,3fE2CSJIrl8C
,,,,Using capillary electrophoresis to quantify organic acids from plant tissue: A test case examining coffea arabica seeds,"MJ Vaughan, A Chanon, JJ Blakeslee","JoVE (Journal of Visualized Experiments), e",e54611,3,2016,1.60777E+19,e5wmG9Sq2KIC
,,,,Modulation of halotropic growth in rough bluegrass (Poa trivialis L.) by flavonoids and light,"DP Petrella, E Han, EJ Nangle, JC Scheerens, DS Gardner, JJ Blakeslee",Environmental and experimental botany,"153, 163-175",2,2018,1.65873E+19,RHpTSmoSYBkC
,,,,Engineering plants with rate limiting farnesene metabolic genes,"J Blakeslee, K Cornish, O Crasta, O Folkerts, D Jessen, R Nair",US Patent App.,"14/371,765",2,2015,5.44275E+18,Se3iqnhoufwC
other,glucose intolerance,,yes,High-dose saccharin supplementation does not induce gut microbiota changes or glucose intolerance in healthy humans and mice,"J Serrano, KR Smith, AL Crouch, V Sharma, F Yi, V Vargova, TE LaMoia, ...",Microbiome,"9 (1), 1-18",1,2021,8.8218E+18,hMod-77fHWUC
phytochemicals,"insulin insensitivity, diabetes, anxiety, glycemia",,yes,Amino acid-based compound activates atypical PKC and leptin receptor pathways to improve glycemia and anxiety like behavior in diabetic mice,"A Lee, Y Sun, T Lin, NJ Song, MKL Mason, JH Leung, D Kowdley, J Wall, ...",Biomaterials,"239, 119839",1,2020,1.66366E+19,4JMBOYKVnBMC
,,,,Corrigendum to: Mutation of the membrane-associated M1 protease APM1 results in distinct embryonic and seedling developmental defects in Arabidopsis,"WA Peer, FN Hosein, A Bandyopadhyay, SN Makam, MS Otegui, GJ Lee, ...","The Plant Cell, koab",b096,0,2021,NA,ns9cj8rnVeAC
,,,,"Arabidopsis P-Glycoprotein19 Participates in the Inhibition of Gravitropism by Gravacin (vol 14, pg 1366, 2007)","M Rojas-Pierce, B Titapiwatanakun, EJ Sohn, F Fang, CK Larive, ...",CELL CHEMICAL BIOLOGY,"28 (2), 242-242",0,2021,NA,NaGl4SEjCO4C
,,,,Research Note: The effect of selection for 16-week body weight on turkey serum metabolome,"DL Clark, SG Velleman, M Bernier, J McCormick, JJ Blakeslee",Poultry science,"99 (1), 517-525",0,2020,NA,u5HHmVD_uO8C
,,,,Using RNA interference in the soybean aphid (Aphis glycines) to functionally evaluate genes involved in adaptation to host-plant resistance,"AD Yates-Stewart, A Favalon, JJ Blakeslee, A Michel",Entomology,2019,0,2019,NA,ULOm3_A8WrAC
,,,,A metabolomics approach to better understand soybean aphid (Aphis glycines) adaptation to aphid-resistant soybean,"AD Yates, A Michel, JJ Blakeslee",Entomology,2018,0,2018,NA,9ZlFYXVOiuMC
,,,,Exogenous Abscisic Acid Increases Freezing Tolerance and Induces Sugar Accumulation in Grapevines,"S Li, L Zhao, J Blakeslee, I Dami",,2017 ASHS Annual Conference,0,2017,NA,LkGwnXOMwfcC
,,,,Phosphatidic Acid‐Protein Phosphatase 2A Interactions Regulate Haloptropic Bending in Rice,"EH Han, D Petrella, J Lin, A DeLong, JJ Blakeslee",The FASEB Journal,"31, 617.5-617.5",0,2017,NA,hC7cP41nSMkC
,,,,Engineering Plants to Produce Farnesene and Other Terpenoids,"R Nair, O Crasta, O Folkerts, J Blakeslee, K Cornish",US Patent App.,"14/086,713",0,2014,NA,hqOjcs7Dif8C
,,,,A New Protocol May Help Reveal Pre-and Post-grafting Environment Effects on Early-phase Healing in Grafted Tomato Seedlings,"B Hu, J Blakeslee, PP Ling, MA Bennett, MD Kleinhenz",,2014 ASHS Annual Conference,0,2014,NA,YFjsv_pBGBYC
,,,,"Efficient"" vaccination"" of Nicotiana benthamiana and tomato plants using a lab-attenuated strain of Pepino mosaic virus","GM Chewachong, JJ Blakeslee, MA Ellis, SA Miller, F Qu",PHYTOPATHOLOGY,"103 (6), 26-26",0,2013,NA,M3ejUd6NZC8C
,,,,Mutation of the membrane-associated M1 protease APM1 results in embryonic and seedling developmental defects phenocopied by treatment with 1-N-napthylphthalamic acid,"W Peer, A Bandyopadhyay, F Hosein, S Makam, G Lee, J Blakeslee, ...","Comparative Biochemistry and Physiology, Part A","3 (150), S189-S190",0,2008,NA,qUcmZB5y_30C
,,,,"Arabidopsis P-glycoprotein19 participates in the inhibition of Gravitropism by gravacin (vol 14, pg 1366, 2008)","M Rojas-Pierce, B Titapiwatanakun, EJ Sohn, F Fang, CK Larive, ...",CHEMISTRY & BIOLOGY,"15 (1), 87-87",0,2008,NA,IWHjjKOFINEC
,,,,Intercellular Signalling in Plants,"A Bandyopadhyay, JJ Blakeslee, OR Lee, J Mravec, M Sauer, ...",Biochemical Society Transactions,35 (part 1),0,2007,NA,5nxA0vEk-isC
,,,,"Interactions between PGP, PIN, and AUX/LAX auxin transport proteins from Arabidopsis.","JJ Blakeslee, A Bandyopadhyay, OR Lee, M Sauer, J Mravec, ...",Proceedings of the,33rd Annual Meeting of the Plant Growth Regulation …,0,2006,NA,_kc_bZDykSQC
,,,,The role of multidrug resistance-like/P-glycoproteins in auxin transport,JJ Blakeslee,Purdue University,,0,2005,NA,W7OEmFMy1HYC
,,,,Effects of Ethylene on Endogenous Hormone Concentrations of Sugar Maple (Acer Saccharum) Seeds in Relation to Dormancy Release,JJ Blakeslee,Moravian College,,0,1999,NA,0EnyYjriUFMC
,,,,Physiological and Biochemical Changes in ‘Cabernet franc’Grapevines in Response to Exogenous Abscisic Acid,"H Wang, J Blakeslee, I Dami",,,0,NA,NA,O3NaXMp0MMsC
,,,,Handbook of nutraceuticals and functional foods,REC Wildman,CRC press,,582,2016,2.22052E+18,kh2fBNsKQNwC
"vitamins & minerals, phytochemicals",smoking,yes,yes,Faster plasma vitamin E disappearance in smokers is normalized by vitamin C supplementation,"RS Bruno, SW Leonard, J Atkinson, TJ Montine, R Ramakrishnan, ...",Free Radical Biology and Medicine,"40 (4), 689-697",225,2006,1.66842E+19,r0BpntZqJG4C
other,,,yes,Whey protein supplementation during resistance training augments lean body mass,"JS Volek, BM Volk, AL Gómez, LJ Kunces, BR Kupchak, DJ Freidenreich, ...",Journal of the American College of Nutrition,"32 (2), 122-135",183,2013,1.08081E+19,dfsIfKJdRG4C
other,nonalcoholic fatty liver disease,,yes,"Green tea extract protects leptin-deficient, spontaneously obese mice from hepatic steatosis and injury","RS Bruno, CE Dugan, JA Smyth, DA DiNatale, SI Koo",The Journal of nutrition,"138 (2), 323-331",173,2008,1.78435E+19,u-x6o8ySG0sC
other,nonalcoholic fatty liver disease,,yes,Green tea extract attenuates hepatic steatosis by decreasing adipose lipogenesis and enhancing hepatic antioxidant defenses in ob/ob mice,"HJ Park, DA DiNatale, MY Chung, YK Park, JY Lee, SI Koo, M O'Connor, ...",The Journal of nutritional biochemistry,"22 (4), 393-400",153,2011,1.16153E+19,W7OEmFMy1HYC
,,,,Endogenous and exogenous mediators of quercetin bioavailability,"Y Guo, RS Bruno",The Journal of nutritional biochemistry,"26 (3), 201-210",145,2015,1.93827E+18,geHnlv5EZngC
,,,,α-Tocopherol disappearance is faster in cigarette smokers and is inversely related to their ascorbic acid status,"RS Bruno, R Ramakrishnan, TJ Montine, TM Bray, MG Traber",The American journal of clinical nutrition,"81 (1), 95-103",140,2005,1.70372E+19,u5HHmVD_uO8C
fruits,ulcerative colitis,,yes,Anti-inflammatory effects of freeze-dried black raspberry powder in ulcerative colitis,"DC Montrose, NA Horelik, JP Madigan, GD Stoner, LS Wang, RS Bruno, ...",Carcinogenesis,"32 (3), 343-350",126,2011,4.93265E+18,roLk4NBRz8UC
phytochemicals,colon carcinoma,,yes,Quercetin-containing self-nanoemulsifying drug delivery system for improving oral bioavailability,"TH Tran, Y Guo, D Song, RS Bruno, X Lu",Journal of pharmaceutical sciences,"103 (3), 840-852",123,2014,1.64334E+19,OU6Ihb5iCvQC
,,,,Postprandial hyperglycemia impairs vascular endothelial function in healthy men by inducing lipid peroxidation and increasing asymmetric dimethylarginine: arginine,"E Mah, SK Noh, KD Ballard, ME Matos, JS Volek, RS Bruno",The Journal of nutrition,"141 (11), 1961-1968",123,2011,6.6544E+18,Zph67rFs4hoC
,,,,Induction of regulatory T cells by green tea polyphenol EGCG,"CP Wong, LP Nguyen, SK Noh, TM Bray, RS Bruno, E Ho",Immunology letters,"139 (1-2), 7-13",123,2011,9.45579E+17,0EnyYjriUFMC
,,,,Postprandial hyperglycemia on vascular endothelial function: mechanisms and consequences,"E Mah, RS Bruno",Nutrition research,"32 (10), 727-740",120,2012,4.93294E+17,9ZlFYXVOiuMC
,,,,Therapeutic potential of green tea in nonalcoholic fatty liver disease,"C Masterjohn, RS Bruno",Nutrition reviews,"70 (1), 41-56",120,2012,1.5227E+19,M3ejUd6NZC8C
,,,,Green tea extract suppresses NFκB activation and inflammatory responses in diet-induced obese rats with nonalcoholic steatohepatitis,"HJ Park, JY Lee, MY Chung, YK Park, AM Bower, SI Koo, C Giardina, ...",The Journal of nutrition,"142 (1), 57-63",118,2012,1.56562E+19,5nxA0vEk-isC
,,,,Astaxanthin-Rich Extract from the Green Alga Haematococcus pluvialis Lowers Plasma Lipid Concentrations and Enhances Antioxidant Defense in Apolipoprotein …,"Y Yang, JM Seo, A Nguyen, TX Pham, HJ Park, Y Park, B Kim, RS Bruno, ...",The Journal of nutrition,"141 (9), 1611-1617",113,2011,1.46952E+19,_kc_bZDykSQC
,,,,Effects of step-wise increases in dietary carbohydrate on circulating saturated fatty acids and palmitoleic acid in adults with metabolic syndrome,"BM Volk, LJ Kunces, DJ Freidenreich, BR Kupchak, C Saenz, ...",PloS one,"9 (11), e113605",111,2014,8.30454E+18,8AbLer7MMksC
,,,,Soy proteins and isoflavones affect bone mineral density in older women: a randomized controlled trial,"AM Kenny, KM Mangano, RH Abourizk, RS Bruno, DE Anamani, ...",The American journal of clinical nutrition,"90 (1), 234-242",107,2009,5.80781E+18,qjMakFHDy7sC
,,,,Human vitamin E requirements assessed with the use of apples fortified with deuterium-labeled α-tocopheryl acetate,"RS Bruno, SW Leonard, S Park, Y Zhao, MG Traber",The American journal of clinical nutrition,"83 (2), 299-304",97,2006,1.183E+19,IjCSPb-OGe4C
,,,,"Acute ingestion of a novel whey-derived peptide improves vascular endothelial responses in healthy individuals: a randomized, placebo controlled trial","KD Ballard, RS Bruno, RL Seip, EE Quann, BM Volk, DJ Freidenreich, ...",Nutrition journal,"8 (1), 1-11",85,2009,8.53329E+18,LkGwnXOMwfcC
,,,,Dietary fat increases quercetin bioavailability in overweight adults,"Y Guo, E Mah, CG Davis, T Jalili, MG Ferruzzi, OK Chun, RS Bruno",Molecular nutrition & food research,"57 (5), 896-905",83,2013,2.28472E+18,4JMBOYKVnBMC
,,,,"Acute, quercetin-induced reductions in blood pressure in hypertensive individuals are not secondary to lower plasma angiotensin-converting enzyme activity or endothelin-1 …","A Larson, MAH Witman, Y Guo, S Ives, RS Richardson, RS Bruno, T Jalili, ...",Nutrition research,"32 (8), 557-564",80,2012,1.35801E+19,IWHjjKOFINEC
,,,,Dietary soy and tea mitigate chronic inflammation and prostate cancer via NFκB pathway in the Noble rat model,"A Hsu, RS Bruno, CV Löhr, AW Taylor, RH Dashwood, TM Bray, E Ho",The Journal of nutritional biochemistry,"22 (5), 502-510",80,2011,6.60296E+18,ufrVoPGSRksC
,,,,Development and validation of an algorithm to establish a total antioxidant capacity database of the US diet,"A Floegel, DO Kim, SJ Chung, WO Song, ML Fernandez, RS Bruno, ...",International journal of food sciences and nutrition,"61 (6), 600-623",80,2010,8.61421E+18,Se3iqnhoufwC
,,,,Dietary α-and γ-tocopherol supplementation attenuates lipopolysaccharide-induced oxidative stress and inflammatory-related responses in an obese mouse model of nonalcoholic …,"MY Chung, SF Yeung, HJ Park, JS Volek, RS Bruno",The Journal of nutritional biochemistry,"21 (12), 1200-1206",79,2010,1.09008E+19,ULOm3_A8WrAC
,,,,Benefits of prolonged gradient separation for high-performance liquid chromatography–tandem mass spectrometry quantitation of plasma total 15-series F2-isoprostanes,"AW Taylor, RS Bruno, B Frei, MG Traber",Analytical biochemistry,"350 (1), 41-51",79,2006,2.38374E+18,d1gkVwhDpl0C
,,,,Dietary zinc restriction and repletion affects DNA integrity in healthy men,"Y Song, CS Chung, RS Bruno, MG Traber, KH Brown, JC King, E Ho",The American journal of clinical nutrition,"90 (2), 321-328",76,2009,7.7204E+18,WF5omc3nYNoC
,,,,Women and Smokers Have Elevated Urinary F2‐Isoprostane Metabolites: A Novel Extraction and LC–MS Methodology,"AW Taylor, RS Bruno, MG Traber",Lipids,"43 (10), 925-936",76,2008,1.06365E+19,eQOLeE2rZwMC
,,,,"Vitamin E biokinetics, oxidative stress and cigarette smoking","RS Bruno, MG Traber",Pathophysiology,"13 (3), 143-149",75,2006,8.71794E+18,UeHWp8X0CEIC
,,,,5-Nitro-γ-tocopherol increases in human plasma exposed to cigarette smoke in vitro and in vivo,"SW Leonard, RS Bruno, E Paterson, BC Schock, J Atkinson, TM Bray, ...",Free Radical Biology and Medicine,"35 (12), 1560-1567",75,2003,9.06405E+18,9yKSN-GCB0IC
,,,,Green tea extract protects against nonalcoholic steatohepatitis in ob/ob mice by decreasing oxidative and nitrative stress responses induced by proinflammatory enzymes,"MY Chung, HJ Park, JE Manautou, SI Koo, RS Bruno",The Journal of nutritional biochemistry,"23 (4), 361-367",69,2012,4.92513E+18,KlAtU1dfN6UC
,,,,"Acute effects of ingestion of a novel whey-derived extract on vascular endothelial function in overweight, middle-aged men and women","KD Ballard, BR Kupchak, BM Volk, E Mah, A Shkreta, C Liptak, ...",British Journal of Nutrition,"109 (5), 882-893",67,2013,1.13078E+19,7PzlFSSx8tAC
,,,,A quercetin supplemented diet does not prevent cardiovascular complications in spontaneously hypertensive rats,"J Carlstrom, JD Symons, TC Wu, RS Bruno, SE Litwin, T Jalili",The Journal of nutrition,"137 (3), 628-633",64,2007,1.23435E+19,Tyk-4Ss8FVUC
,,,,Cigarette smoke alters human vitamin E requirements,"RS Bruno, MG Traber",The Journal of nutrition,"135 (4), 671-674",62,2005,1.00458E+19,2osOgNQ5qMEC
,,,,Alpha-tocopherol modulates genes involved in hepatic xenobiotic pathways in mice,"DJ Mustacich, K Gohil, RS Bruno, M Yan, SW Leonard, E Ho, CE Cross, ...",The Journal of nutritional biochemistry,"20 (6), 469-476",61,2009,1.54425E+19,_FxGoFyzp5QC
